,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Mazen Berjawi,Mariusz Skoneczny,9,2,1,2010-06-29,2010 WPA World 9-Ball Championship
1,Hasan Zeraatgar,Bruno Muratore,3,9,2,2010-06-29,2010 WPA World 9-Ball Championship
2,Abdulla a. Al Daham,Mazen Berjawi,6,9,3,2010-06-29,2010 WPA World 9-Ball Championship
3,Imran Majid,Bruno Muratore,7,9,4,2010-06-29,2010 WPA World 9-Ball Championship
4,Shane Van Boening,Abdulla a. Al Daham,9,6,5,2010-06-29,2010 WPA World 9-Ball Championship
5,Mazen Berjawi,Hasan Zeraatgar,6,9,6,2010-06-29,2010 WPA World 9-Ball Championship
6,Imran Majid,Mariusz Skoneczny,6,9,7,2010-06-29,2010 WPA World 9-Ball Championship
7,Ibrahim Bin Amir,Bruno Muratore,9,7,8,2010-06-29,2010 WPA World 9-Ball Championship
8,Shane Van Boening,Hasan Zeraatgar,9,7,9,2010-06-29,2010 WPA World 9-Ball Championship
9,Mariusz Skoneczny,Ibrahim Bin Amir,5,9,10,2010-06-29,2010 WPA World 9-Ball Championship
10,Kenny Kwok,Joven Alba,5,9,11,2010-06-29,2010 WPA World 9-Ball Championship
11,Francis Crevier,Marlon Manalo,2,9,12,2010-06-29,2010 WPA World 9-Ball Championship
12,Jim Chawki,Kenny Kwok,7,9,13,2010-06-29,2010 WPA World 9-Ball Championship
13,Marlon Manalo,Waleed Majid,9,7,14,2010-06-29,2010 WPA World 9-Ball Championship
14,Lu Hui Chan,Jim Chawki,9,6,15,2010-06-29,2010 WPA World 9-Ball Championship
15,Francis Crevier,Kenny Kwok,9,7,16,2010-06-29,2010 WPA World 9-Ball Championship
16,Marlon Manalo,Joven Alba,8,9,17,2010-06-29,2010 WPA World 9-Ball Championship
17,Scott Higgins,Waleed Majid,9,6,18,2010-06-29,2010 WPA World 9-Ball Championship
18,Lu Hui Chan,Francis Crevier,9,3,19,2010-06-29,2010 WPA World 9-Ball Championship
19,Joven Alba,Scott Higgins,4,9,20,2010-06-29,2010 WPA World 9-Ball Championship
20,Thorsten Hohmann,Lee Chenman,6,9,21,2010-06-29,2010 WPA World 9-Ball Championship
21,Charles Williams,Ham Won Sik,9,6,22,2010-06-29,2010 WPA World 9-Ball Championship
22,Thorsten Hohmann,Kazuki Nishimura,9,4,23,2010-06-29,2010 WPA World 9-Ball Championship
23,Ham Won Sik,Hussain Jaffer,9,8,24,2010-06-29,2010 WPA World 9-Ball Championship
24,Thorsten Hohmann,Charles Williams,7,9,25,2010-06-29,2010 WPA World 9-Ball Championship
25,Sandor Tot,Kazuki Nishimura,9,4,26,2010-06-29,2010 WPA World 9-Ball Championship
26,Stephan Cohen,Ham Won Sik,9,3,27,2010-06-29,2010 WPA World 9-Ball Championship
27,Lee Chenman,Hussain Jaffer,9,4,28,2010-06-29,2010 WPA World 9-Ball Championship
28,Charles Williams,Sandor Tot,8,9,29,2010-06-29,2010 WPA World 9-Ball Championship
29,Stephan Cohen,Lee Chenman,9,6,30,2010-06-29,2010 WPA World 9-Ball Championship
30,Ernesto Dominguez,Karl Boyes,9,7,31,2010-06-29,2010 WPA World 9-Ball Championship
31,Huidji See,Lee Poh Soon,6,9,32,2010-06-29,2010 WPA World 9-Ball Championship
32,Mohd. Ali Berjawi,Ernesto Dominguez,3,9,33,2010-06-29,2010 WPA World 9-Ball Championship
33,Lee Poh Soon,Ali Obaidly,9,4,34,2010-06-29,2010 WPA World 9-Ball Championship
34,Yang Ching Shun,Mohd. Ali Berjawi,9,3,35,2010-06-29,2010 WPA World 9-Ball Championship
35,Ernesto Dominguez,Huidji See,5,9,36,2010-06-29,2010 WPA World 9-Ball Championship
36,Karl Boyes,Lee Poh Soon,9,0,37,2010-06-29,2010 WPA World 9-Ball Championship
37,Ali Obaidly,Tony Drago,3,9,38,2010-06-29,2010 WPA World 9-Ball Championship
38,Yang Ching Shun,Huidji See,9,5,39,2010-06-29,2010 WPA World 9-Ball Championship
39,Karl Boyes,Tony Drago,4,9,40,2010-06-29,2010 WPA World 9-Ball Championship
40,Basem Aboud,Tohru Kuribayashi,3,9,41,2010-06-29,2010 WPA World 9-Ball Championship
41,So Shaw,Fabio Petroni,9,8,42,2010-06-29,2010 WPA World 9-Ball Championship
42,Basem Aboud,Wael Tallat,9,8,43,2010-06-29,2010 WPA World 9-Ball Championship
43,Fabio Petroni,Mohd. A. Al Harthi,9,4,44,2010-06-29,2010 WPA World 9-Ball Championship
44,Basem Aboud,So Shaw,5,9,45,2010-06-29,2010 WPA World 9-Ball Championship
45,Wael Tallat,Hanni Al Howri,5,9,46,2010-06-29,2010 WPA World 9-Ball Championship
46,Francisco Bustamante,Fabio Petroni,9,7,47,2010-06-29,2010 WPA World 9-Ball Championship
47,Mohd. A. Al Harthi,Tohru Kuribayashi,3,9,48,2010-06-29,2010 WPA World 9-Ball Championship
48,So Shaw,Hanni Al Howri,5,9,49,2010-06-29,2010 WPA World 9-Ball Championship
49,Francisco Bustamante,Tohru Kuribayashi,9,6,50,2010-06-29,2010 WPA World 9-Ball Championship
50,Yousseff Jalar,Niels Feijen,9,6,51,2010-06-29,2010 WPA World 9-Ball Championship
51,Rodney Morris,Chan Keng Kwang,7,9,52,2010-06-29,2010 WPA World 9-Ball Championship
52,Yousseff Jalar,Heck Helmut,9,4,53,2010-06-29,2010 WPA World 9-Ball Championship
53,Mohd. H. Al Hosani,Chan Keng Kwang,8,9,54,2010-06-29,2010 WPA World 9-Ball Championship
54,Rodney Morris,Yousseff Jalar,9,4,55,2010-06-29,2010 WPA World 9-Ball Championship
55,Dang Jinhu,Heck Helmut,9,9,56,2010-06-29,2010 WPA World 9-Ball Championship
56,Niels Feijen,Mohd. H. Al Hosani,9,1,57,2010-06-29,2010 WPA World 9-Ball Championship
57,Chan Keng Kwang,Alen Cuarcero,7,9,58,2010-06-29,2010 WPA World 9-Ball Championship
58,Rodney Morris,Dang Jinhu,8,9,59,2010-06-29,2010 WPA World 9-Ball Championship
59,Niels Feijen,Alen Cuarcero,6,9,60,2010-06-29,2010 WPA World 9-Ball Championship
60,Yukio Akakariyama,Thomas Engert,9,5,61,2010-06-29,2010 WPA World 9-Ball Championship
61,Salah Al Riwani,Kuo Po Chen,2,9,62,2010-06-29,2010 WPA World 9-Ball Championship
62,Yukio Akakariyama,Aleksandros Kazaqi,9,0,63,2010-06-29,2010 WPA World 9-Ball Championship
63,Kuo Po Chen,Ben Judge,9,8,64,2010-06-29,2010 WPA World 9-Ball Championship
64,Yukio Akakariyama,John Morra,4,9,65,2010-06-29,2010 WPA World 9-Ball Championship
65,Aleksandros Kazaqi,Salah Al Riwani,4,9,66,2010-06-29,2010 WPA World 9-Ball Championship
66,Kuo Po Chen,Thomas Engert,5,9,67,2010-06-29,2010 WPA World 9-Ball Championship
67,Craig Osbome,Ben Judge,9,5,68,2010-06-29,2010 WPA World 9-Ball Championship
68,John Morra,Salah Al Riwani,9,5,69,2010-06-29,2010 WPA World 9-Ball Championship
69,Thomas Engert,Craig Osbome,8,9,70,2010-06-29,2010 WPA World 9-Ball Championship
70,Mohammad Al Asaal,Marcus Chamat,8,9,71,2010-06-29,2010 WPA World 9-Ball Championship
71,Bashar Hussain,Del Amo Hector,9,4,72,2010-06-29,2010 WPA World 9-Ball Championship
72,Mohammad Al Asaal,Mehdi Rasekhi,9,8,73,2010-06-29,2010 WPA World 9-Ball Championship
73,Oscar Dominguez,Del Amo Hector,5,8,74,2010-06-29,2010 WPA World 9-Ball Championship
74,Bashar Hussain,Mohammad Al Asaal,9,6,75,2010-06-29,2010 WPA World 9-Ball Championship
75,Masaaki Tanaka,Mehdi Rasekhi,9,4,76,2010-06-29,2010 WPA World 9-Ball Championship
76,Marcus Chamat,Oscar Dominguez,9,8,77,2010-06-29,2010 WPA World 9-Ball Championship
77,Konstantin Stepanov,Del Amo Hector,9,2,78,2010-06-29,2010 WPA World 9-Ball Championship
78,Bashar Hussain,Masaaki Tanaka,2,9,79,2010-06-29,2010 WPA World 9-Ball Championship
79,Marcus Chamat,Konstantin Stepanov,8,9,80,2010-06-29,2010 WPA World 9-Ball Championship
80,Ralf Souquet,Fahad S. Al Barak,9,0,81,2010-06-29,2010 WPA World 9-Ball Championship
81,Chris Melling,Jeong Young Hwa,9,1,82,2010-06-29,2010 WPA World 9-Ball Championship
82,Ralf Souquet,Carlo Castro,9,1,83,2010-06-29,2010 WPA World 9-Ball Championship
83,Mohd Al Bin Ali,Jeong Young Hwa,5,9,84,2010-06-29,2010 WPA World 9-Ball Championship
84,Ralf Souquet,Dennis Orcollo,6,9,85,2010-06-29,2010 WPA World 9-Ball Championship
85,Chris Melling,Carlo Castro,9,2,86,2010-06-29,2010 WPA World 9-Ball Championship
86,Mohd Al Bin Ali,Fahad S. Al Barak,8,9,87,2010-06-29,2010 WPA World 9-Ball Championship
87,Jeong Young Hwa,Oliver Medenilla,6,9,88,2010-06-29,2010 WPA World 9-Ball Championship
88,Dennis Orcollo,Chris Melling,9,4,89,2010-06-29,2010 WPA World 9-Ball Championship
89,Fahad S. Al Barak,Oliver Medenilla,6,9,90,2010-06-29,2010 WPA World 9-Ball Championship
90,Toh Lian Han,Nguyen Phuc Long,6,9,91,2010-06-29,2010 WPA World 9-Ball Championship
91,Jakob Belka,Artem Koshovoj,7,9,92,2010-06-29,2010 WPA World 9-Ball Championship
92,Toh Lian Han,Abas Ali,9,3,93,2010-06-29,2010 WPA World 9-Ball Championship
93,Daryl Peach,Artem Koshovoj,8,9,94,2010-06-29,2010 WPA World 9-Ball Championship
94,Johnny Archer,Toh Lian Han,9,3,95,2010-06-29,2010 WPA World 9-Ball Championship
95,Abas Ali,Jakob Belka,2,9,96,2010-06-29,2010 WPA World 9-Ball Championship
96,Daryl Peach,Israel Rota,8,9,97,2010-06-29,2010 WPA World 9-Ball Championship
97,Artem Koshovoj,Nguyen Phuc Long,8,9,98,2010-06-29,2010 WPA World 9-Ball Championship
98,Johnny Archer,Jakob Belka,9,8,99,2010-06-29,2010 WPA World 9-Ball Championship
99,Israel Rota,Nguyen Phuc Long,9,6,100,2010-06-29,2010 WPA World 9-Ball Championship
100,Ibrahim Al Khadar,Carlo Dalmatin,5,9,101,2010-06-29,2010 WPA World 9-Ball Championship
101,Lee Van Corteza,Mohanna Obaidly,9,3,102,2010-06-29,2010 WPA World 9-Ball Championship
102,Ibrahim Al Khadar,Carol Skowersui,9,6,103,2010-06-29,2010 WPA World 9-Ball Championship
103,Sundeep Gulati,Mohanna Obaidly,3,9,104,2010-06-29,2010 WPA World 9-Ball Championship
104,Lee Van Corteza,Ibrahim Al Khadar,9,1,105,2010-06-29,2010 WPA World 9-Ball Championship
105,Christian Reimering,Carol Skowersui,9,5,106,2010-06-29,2010 WPA World 9-Ball Championship
106,Ko Pin Yi,Sundeep Gulati,9,1,107,2010-06-29,2010 WPA World 9-Ball Championship
107,Mohanna Obaidly,Carlo Dalmatin,6,9,108,2010-06-29,2010 WPA World 9-Ball Championship
108,Lee Van Corteza,Christian Reimering,5,9,109,2010-06-29,2010 WPA World 9-Ball Championship
109,Ko Pin Yi,Carlo Dalmatin,9,7,110,2010-06-29,2010 WPA World 9-Ball Championship
110,Mark Gray,Jason Klatt,3,9,111,2010-06-29,2010 WPA World 9-Ball Championship
111,Nick van den Berg,Taqi Aldin Moustafawi,9,1,112,2010-06-29,2010 WPA World 9-Ball Championship
112,Mark Gray,Mohd. Bewi Simanjuntak,9,4,113,2010-06-29,2010 WPA World 9-Ball Championship
113,Darren Appleton,Taqi Aldin Moustafawi,4,9,114,2010-06-29,2010 WPA World 9-Ball Championship
114,Mark Gray,Raymund Faron,2,9,115,2010-06-29,2010 WPA World 9-Ball Championship
115,Nick van den Berg,Mohd. Bewi Simanjuntak,9,2,116,2010-06-29,2010 WPA World 9-Ball Championship
116,Darren Appleton,Jason Klatt,3,9,117,2010-06-29,2010 WPA World 9-Ball Championship
117,Chang Jung Lin,Taqi Aldin Moustafawi,9,2,118,2010-06-29,2010 WPA World 9-Ball Championship
118,Raymund Faron,Nick van den Berg,9,8,119,2010-06-29,2010 WPA World 9-Ball Championship
119,Jason Klatt,Chang Jung Lin,2,9,120,2010-06-29,2010 WPA World 9-Ball Championship
120,Jeffrey De Luna,Khalid K. Almutari,9,3,121,2010-06-29,2010 WPA World 9-Ball Championship
121,Alain Martel,Radosław Babica,9,8,122,2010-06-29,2010 WPA World 9-Ball Championship
122,Jeffrey De Luna,Richard Jones,9,6,123,2010-06-29,2010 WPA World 9-Ball Championship
123,Radosław Babica,Abdulatif Fawal,9,7,124,2010-06-29,2010 WPA World 9-Ball Championship
124,Jeffrey De Luna,Nitiwat Kanjanasri,6,9,125,2010-06-29,2010 WPA World 9-Ball Championship
125,Alain Martel,Richard Jones,9,6,126,2010-06-29,2010 WPA World 9-Ball Championship
126,Radosław Babica,Hayato Hijikata,2,9,127,2010-06-29,2010 WPA World 9-Ball Championship
127,Khalid K. Almutari,Abdulatif Fawal,9,3,128,2010-06-29,2010 WPA World 9-Ball Championship
128,Nitiwat Kanjanasri,Alain Martel,9,3,129,2010-06-29,2010 WPA World 9-Ball Championship
129,Hayato Hijikata,Khalid K. Almutari,9,5,130,2010-06-29,2010 WPA World 9-Ball Championship
130,Corey Deuel,Antonio Gabica,3,9,131,2010-06-29,2010 WPA World 9-Ball Championship
131,Khalid Al Kamale,Muhammad Zulfikri,8,9,132,2010-06-29,2010 WPA World 9-Ball Championship
132,Corey Deuel,Martin Kempter,9,2,133,2010-06-29,2010 WPA World 9-Ball Championship
133,Nicolas Ottermann,Muhammad Zulfikri,5,9,134,2010-06-29,2010 WPA World 9-Ball Championship
134,Antonio Lining,Corey Deuel,9,7,135,2010-06-29,2010 WPA World 9-Ball Championship
135,Martin Kempter,Khalid Al Kamale,8,9,136,2010-06-29,2010 WPA World 9-Ball Championship
136,Antonio Gabica,Nicolas Ottermann,9,7,137,2010-06-29,2010 WPA World 9-Ball Championship
